import time: self [us] | cumulative | imported package
import time:       461 |        461 |                     numpy.linalg.lapack_lite
import time:       873 |        873 |                     numpy.linalg._umath_linalg
import time:       476 |       1809 |                   numpy.linalg.linalg
import time:       295 |       2354 |                 numpy.linalg
import time:       522 |       4170 |               numpy.matrixlib.defmatrix
import time:       218 |       4388 |             numpy.matrixlib
import time:       319 |        319 |             numpy.lib.stride_tricks
import time:       554 |       6550 |           numpy.lib.index_tricks
import time:       283 |        283 |           numpy.lib.mixins
import time:       378 |        378 |           numpy.lib.nanfunctions
import time:       347 |        347 |           numpy.lib.shape_base
import time:       248 |        248 |           numpy.lib.scimath
import time:       522 |        522 |           numpy.lib.polynomial
import time:       242 |        242 |           numpy.lib.arraysetops
import time:       279 |        279 |             numpy.lib.format
import time:       353 |        353 |             numpy.lib._datasource
import time:       410 |        410 |             numpy.lib._iotools
import time:       556 |       1597 |           numpy.lib.npyio
import time:      1033 |       1033 |               _decimal
import time:       308 |       1340 |             decimal
import time:       236 |       1575 |           numpy.lib.financial
import time:       243 |        243 |           numpy.lib.arrayterator
import time:       300 |        300 |           numpy.lib.arraypad
import time:       301 |        301 |           numpy.lib._version
import time:       534 |      70543 |         numpy.lib
import time:        50 |         50 |         numpy.core.c_einsum
import time:       865 |        865 |         numpy.core._multiarray_tests
import time:      1420 |      72877 |       numpy.add_newdocs
import time:       420 |        420 |         numpy._mklinit
import time:       250 |        670 |       numpy._distributor_init
import time:       245 |        245 |         numpy.fft.info
import time:       456 |        456 |           numpy.fft.fftpack_lite
import time:       237 |        237 |           numpy.fft.helper
import time:       660 |       1352 |         numpy.fft.fftpack
import time:       372 |        372 |               backports_abc
import time:        41 |         41 |               numpy.core.multiarray_tests
import time:      1298 |       1710 |             mkl_fft._pydfti
import time:       280 |       1989 |           mkl_fft
import time:       259 |       2248 |         mkl_fft._numpy_fft
import time:       300 |       4144 |       numpy.fft
import time:       299 |        299 |           numpy.polynomial.polyutils
import time:       309 |        309 |           numpy.polynomial._polybase
import time:       497 |       1104 |         numpy.polynomial.polynomial
import time:       446 |        446 |         numpy.polynomial.chebyshev
import time:       330 |        330 |         numpy.polynomial.legendre
import time:       338 |        338 |         numpy.polynomial.hermite
import time:       372 |        372 |         numpy.polynomial.hermite_e
